email,title,description,url,scrape_time
showings@kenlarproperties.com,Downtown Historic Charm Renovated 2 Bed Apartment, 286 Talbot Street Available Now! Enjoy Upgraded comfort in this Historic Building. Recently renovated 2 Bed apartments Starting at $1150 per month  Featuring: Granite Countertops Modern Styled Kitchens Travertine Tile Updated Bathrooms Bright Bedrooms and Living Rooms  Please contact:  Kenlar Properties at showings@kenlarproperties.com to book your showing today!  ,https://www.kijiji.ca/v-apartments-condos/london/downtown-historic-charm-renovated-2-bed-apartment/1513598572,22-July-2020 19:10:49
bell@paramountapts.com,DOW`S LAKE 1 BED - SEPT 1st $1299 + HYDRO!,"  DOW'S LAKE TOWERS 360 BELL ST. S.  OUR RENTAL OFFICE IS CURRENTLY AVAILABLE FOR ENQUIRIES VIA PHONE AND EMAIL ONLY.   SHOWINGS WILL BE GIVEN TO PRE-APPROVED APPLICANTS ONLY.      bell@paramountapts.com     (613) 234-2820    September 1st, 3rd or 11th floor available 1 bedroom ~ $1,299.00 Heat &amp; Water Included Hydro extra Outdoor parking $80/month, Indoor parking $100/month  Our Property Offers: Well maintained / Spacious Apartments with Hardwood Floors! Large Windows and Balcony spans across Entire Unit Freshly Painted Apartments Fridge &amp; Stove Included Laundry Suites on Site Storage Lockers &amp; Bicycle storage Rooms Pet Friendly  Superintendents on site Monday to Friday on Site Office Staff  Located near Preston Street &amp; Bronson Avenue, short walk to Dow's Lake On major bus routes Short commute to downtown  Due to Covid 19 situation we are respecting the request of Ottawa Public Health to not conduct in person viewing at this time. We are available Monday Friday from 9-5 pm for you to discuss our suites by phone or email. All applications and paperwork will be done via email and can be completed on-line. We will conduct all landlord references and credit screening; we will require last month rent deposit in order to hold any unit for you.  Call now to book your next appointment 613-234-2820    ",https://www.kijiji.ca/v-apartments-condos/ottawa/dow-s-lake-1-bed-sept-1st-1299-hydro/1509623016,22-July-2020 19:11:23
pbc@pbcsweetnam,"Newly constructed 3 Bedroom 2 bath duplex, amazing location!","  This cheerful well-lit upper level of a duplex was recently built in an amazing location backing onto Poole Creek in Stittsville. Bright open spacious living/dining/kitchen, area with large windows which provide lots of light. This 3 bedroom home has 2 bathrooms, a large main bathroom with a tub/shower, and a washer and dryer. Master bedroom has an ensuite with a shower. The unit has a private entrance to the upper level of the home with everything on one level and is reached by only 7 steps from ground level. Backyard backs onto Poole Creek and lots of trees in the area. Separate furnace heating and ventilation for each unit. Available for August 1st or September 1st. The rent is $2,400 monthly; we estimate utilities which are not included will be around $175.00. Signing bonus- the first 2 months include unlimited internet and basic Bell fibe tv.  This home is located near many amenities such as shopping, banks, schools, bus, playgrounds, parks and more. Many are within walking distance. It is located close to the Canadian Tire Centre, Tanger Outlet Mall, Bell Sensplex, Costco, Centrum, Landmark Cinemas, Signature Centre, Hazeldean Mall and more. Walking distance to public transportation, two grocery stores, and other retail.  The home is equipped with five major appliances, plus a microwave and modern kitchen cabinets. The bedrooms have closets and large windows. There are additional closets at the entry. There is exterior parking for up to 3 large cars. Exclusive use of a storage shed.  High Speed internet available from Bell and Rogers after the first 2 months at a charge.  No smoking or pets that shed please.  Open to negotiations on the installation of an electric vehicle changer if desired.  Note unit is unfurnished. Photos are showing staging with furniture.  Call/text/email now.
Call 613-836-3005 and choose extension 7 to be connected with someone.
Email pbc@pbcsweetnam
Txt 613-836-3005  ",https://www.kijiji.ca/v-apartments-condos/ottawa/newly-constructed-3-bedroom-2-bath-duplex-amazing-location/1512501555,22-July-2020 19:11:27
kim@kimtranteam.com,CAPITALPROPERTIESNOW.COM – 1 BED CONDO FOR RENT - MONDRIAN,"  324 Laurier Ave Unit 1912  Parking available for an additional $150/m! WOW! This is downtown living done right! Welcome to the sought-after and desirable Mondrian in the heart of Ottawa! Built by Urban Capital, this beautiful one bedroom condo has everything you want AND need including high quality finishes, hardwood floors, open-concept living, views that will leave you breathless, great sized Master Bedroom, spacious private balcony, in-suite laundry (brand new GE energy efficient stacked washer and dryer being installed!) and the list goes on! You can't beat the panoramic cityscape views from the 19th level with floor to ceiling windows! Plus, this condo is located centrally in Centretown - walk to delicious restaurants, trendy shops, and even Parliament Hill! Building amenities include an outdoor pool, exercise centre, BBQ area, party room and concierge! Everything you need just steps away! Come fall in love today!  Please note, there is no parking or storage locker included with this unit. Move in beginning August 1, 2020!  Email us today for a showing! You’ll be happy you did!  TEAM TRAN
Sales Representatives – RE/MAX Hallmark Realty Group
kim@kimtranteam.com  ",https://www.kijiji.ca/v-apartments-condos/ottawa/capitalpropertiesnow-com-1-bed-condo-for-rent-mondrian/1513621061,22-July-2020 19:12:02
showings@kenlarproperties.com,Renovated 1 bdrm in Historic Downtown St. Thomas, 286 Talbot Street Available Now! Enjoy Upgraded comfort in this historic Building. Recently renovated units Starting at $975 per month  Featuring: Granite Countertops Modern Styled Kitchens Travertine Tile Updated Bathrooms Bright Bedrooms and Living Rooms  Please contact:  Kenlar Properties at showings@kenlarproperties.com to book your showing today!  ,https://www.kijiji.ca/v-apartments-condos/london/renovated-1-bdrm-in-historic-downtown-st-thomas/1513598570,22-July-2020 19:12:32
kim@kimtranteam.com,CAPITALPROPERTIESNOW.COM – 2 BEDROOM + DEN TOWNHOME FOR RENT!,"  1444 Hemlock Road  Absolutely stunning three storey townhome available for rent in the sought-after Wateridge! This custom two bedroom home + den is loaded with upgrades including: hardwood flooring, open concept living, modern and chic finishes, private oversized balcony off living area, upgraded kitchen with stainless steel appliances and breakfast bar, luxurious Master Bedroom with walk in closet + ensuite, spacious second bedroom with their own washroom close by, private den/office on main level (perfect for use as a home office, if desired) attached garage, and the list goes on! PLUS be the envy of all your friends with your own private, wrap around rooftop terrace! Enjoy a cup of coffee in the morning this summer on your own rooftop. This home is truly amazing. You can live close to some of the best Ottawa has to offer. Upgrade your living today!  Move in as soon as September 1, 2020. Utilities are extra. Tenant Insurance is required.  Email us today for more information!  TEAM TRAN
Sales Representatives – RE/MAX Hallmark Realty Group
kim@kimtranteam.com  ",https://www.kijiji.ca/v-apartments-condos/ottawa/capitalpropertiesnow-com-2-bedroom-den-townhome-for-rent/1513621426,22-July-2020 19:12:40
ajrental.mississauga@gmail.com,Port Credit Basement for Rent - 1200 sq.ft. 1 Bedroom + Den,"  Port Credit - 1 Bedroom + Den Basement Apt - Walk to GO Station
Available Immediately
Price: $1750.00  Very Large 1 Bedroom + Den basement apartment available now.
Enjoy ~1200 Sq. Ft. of very bright and open space.  •	Completely independent with separate entry
•	Private laundry.
•	Full sized eat-in kitchen
•	Parking is included  Condo style living included. Enjoy your weekends. Rent includes outside maintenance of lawns and landscaping, sprinkler systems, and snow removal.  Executive property located on a quiet street in Port Credit (near Hurontario and Eaglewood). Fantastic Location - Great for Commuters and Professionals who enjoy the perks of their own home! You do not even need to own a car. Only a very short 5 min walk to the GO station, and close to the Port Credit lakeside district for lots of shopping, cafe and restaurant options. Tim Horton's is around the corner.  Available Immediately - Rent for the 1 bedroom + den basement unit is $1,750.00. Suitable for non-smoking professionals without pets. Credit and reference letters from your bank and employer along with a minimum 1-year lease will be required.  You can respond this ad by:
-	Emailing ajrental.mississauga@gmail.com (fastest response) or
-	Texting/Calling AJ @ 416-684-4000  ",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/port-credit-basement-for-rent-1200-sq-ft-1-bedroom-den/1513621774,22-July-2020 19:13:24
kim@kimtranteam.com,CAPITALPROPERTIESNOW.COM – LARGE STUDIO CONDO AVAILABLE FOR RENT,"  255 Bay Street Unit 201  ALSO AVAILABLE FURNISHED! Large studio (493 sq. ft.) condo available for rent in the popular and sought-after Bowery! This building boasts some of the best amenities in the city – roof top terrace with jaw dropping views, fully equipped exercise center/yoga studio, indoor pool, party room and more! This bright and sunny, high end condo boasts hardwood floors, stainless steel appliances, study nook, in-suite laundry, storage locker included and much more. Plus, it is also available furnished with bed and bar stools for $1,550/month if desired - this is downtown living done right! Located in the heart of our Capital City, you can easily walk to groceries, delicious restaurants, trendy shops, entertainment, LRT stops and much more. Come fall in love today!  Email us today for a showing. You’ll be happy you did!  TEAM TRAN
Sales Representatives – RE/MAX Hallmark Realty Group
kim@kimtranteam.com  ",https://www.kijiji.ca/v-apartments-condos/ottawa/capitalpropertiesnow-com-large-studio-condo-available-for-rent/1513621776,22-July-2020 19:13:28
fivetwotwoone@gmail.com,1 bdrm spacious @Yonge & Bloor/Wellesley,"  On the 22nd floor of the beautiful “Five Condos” located at 5 St. Joseph Street in the heart of the Bay St. Corridor, you are 3 minutes to Wellesley and 5 minutes to Yonge and Bloor subway stations by walking. Yorkville, UofT, Ryerson, Eaton Centre, the Village, all the hospitals - Toronto General, Sick Kids, Mt. Sinai, Princess Margaret, the Government Buildings, shops, grocery stores and restaurants are within walking distance.
This 1 bedroom 1 bathroom 658 sq ft spacious unit is ideal for a professional/ couple:
- Bright east exposure with unobstructed views, floor to ceiling windows and 9 foot ceilings
- Extra-large balcony and deck area – a true extended outdoor living space
- Amazing modern designer kitchen with an eat-in centre island, granite countertops, ample storage, and top of the line Miele appliances (integrated fridge and dishwasher, oven, cooktop, microwave)
- Modern designer bathroom with a deep soaker tub, rain and handheld shower
- Ensuite laundry
Building amenities include:
24/7 concierge and security, fitness studio, spa/sauna and change rooms, piano lounge, party room with kitchen and bar, media room, library, billiards room, Chillout Lounge, 3 Patios, BBQ area and garden, Yoga room, and guest suite.
$2400 rent includes everything other than Hydro and Internet/Cable.
Contact: fivetwotwoone@gmail.com  ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bdrm-spacious-yonge-bloor-wellesley/1513621873,22-July-2020 19:13:50
office@khatera.ca,FOR RENT: 2-BEDROOM APARTMENT IN PORT HOPE,"  FULLY RENOVATED LARGE 2 BEDROOM APARTMENTS WITH A/C AND TONS OF OTHER UPGRADES!  24 Wellington Apartments in Port Hope are fully renovated large 2-bedroom apartments with tons of upgrades.  It’s ideal for working professionals.  Suite Features:
-Water included extremely low hydro cost, due to all energy-efficient windows, doors and high-efficiency heating and cooling system. $40- $80 a month depending on usage and occupants.
-Private balcony
-Window coverings included
-Hardwood engineering flooring throughout
-New Designer Kitchen cabinetry with self-closing
-New Stainless Appliances (Steal Fridge, stove, and Dishwasher)
-New Granite countertops
-New Backsplash
-New Built-in closet storage / organizer*
-New LED light fixtures
-High-efficiency heating and cooling system
-Open concept living and dining room
-Energy-efficient windows and sliding door
-Upgraded trims doors and Hardware
-Modern décor/ colors  Building features:
-Laundry facility
-Surface parking*
-Secured entry
-24/7 management
-Quick response to maintenance issues and concerns.
-Clean and quiet building.
-Controlled Security system  Neighborhood:
-Tim Horton's
-Variety Sorts
-Restaurants
-Medical Center/Walk-In clinic
-Public Transit
-Hwy 401
-15 min walk to Historic Downtown.  Availability Starts immediately, August 1st, September 1st, and October 1st  Select apartments. Prices, incentives, availability, and specifications are subject to change. Images may not reflect the actual suite. Pet restrictions may apply.  For inquires and availability please contact us at office@khatera.ca or visit our website
www.K-Properties.ca  Online application is available.  ",https://www.kijiji.ca/v-apartments-condos/peterborough/for-rent:-2-bedroom-apartment-in-port-hope/1513621993,22-July-2020 19:13:58
